Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
Boeing 787,ZIPAIR,Economy Class,November 2022,10th November 2022,0,4,1,Singapore,5.0,no,"Twenty years in the film distribution business and never once has an airline refused to allow me to hand carry movie posters in a tube until my first flight with Zipair from NRT-SIN on Nov 4th 2022. They said my poster tube exceeded the dimensions of their overhead compartment. They insist that I paid for another 23kg of check-in luggage when my check-in luggage was 19.5kg of 23kg and my hand carry was only 4.5kg of 7kg. It was very clear that they did not want to listen to my explanation that my luggage was under weight and the poster tube weighed under 2kg. They kept saying that it is company policy. The flight was less than 20% occupied. A Very empty flight. The overhead compartment would have easily contained my poster tube with plenty of space to spare. Poster paper measures 27inch width and 39inch height rolled into a poster tube (cardboard) 2 inches longer than the poster's width.  The cabin crew were unsmiling patrolling the aisles like the police. I found them annoying as they made their presence felt, too much and gave out that I am watching you feeling. And it's not like they were giving out water. You have to pay for it. My pre-paid inflight meal was not bad. The expensive wagyu beef bowl is available and they seemed to have stopped selling their normal beef bowl.(minus points here) Purchased a can of Suntory Premium Beer and Pringles. Paid with a credit card but had to type in my details on their tablet. Prices were reasonable but I had to self-type all the cc details, etc for it to happen. Cash is not accepted for inflight sales. Otherwise, the flight was smooth., cabin was clean (hardly any pax) Less rigidity and friendly cabin crew may improve business. Keep your current attitude and Scoot will benefit most with their flexibility and surprisingly professional and charming cabin crew on my SIN-NRT flight on the same trip. Both flight tix were bought using the airline official website.",Tokyo Narita to Singapore,5,3,zipair,insist I paid for another 23kg of luggage,Solo Leisure,Trip Verified,4,2,34b6ee3f-2e92-442f-9773-97a588779def
Dream Liner,ZIPAIR,Economy Class,August 2022,26th August 2022,0,0,0,Brazil,1.0,no,"I bought a flight from Zipair in July. I will flight 24 of August from Singapore to japan, and take my new flight from Japan to Brazil in 28 of August. In 22 of August I went to a clinic in Singapore and I and my grandchild did the PCR test. In 23 of August in the evening I received a e-mail from Zipair saying that my flight was cancelled. One day before the flight departure. And the next flight available will be only 28 of August (same day that my flight from Emirates will leave Japan). So I had to buy a new ticket that cost four time more from another company and I had to do a new PCR express test that cost me 280SGD per person. Total 560SGD + 2.300SGD for a new ticket. When I asked for refund the first assistant told me that the Zipair will refund the PCR test too. But when I asked for a refund, the company refunded only the ticket value. Be prepared for any inconvenience as it is not a reliable company.",Singapore to Tokyo Narita,0,0,zipair,Be prepared for any inconvenience,Family Leisure,Trip Verified,1,0,4e9809c9-4376-4995-b000-bd95293992ed
Dreamliner,ZIPAIR,Business Class,May 2022,23rd May 2022,2,3,1,Japan,6.0,yes,"Zipair is JAL’s budget airline. They don’t have classes of travel, you just pick your seat (flat bed, emergency exit etc) and pay accordingly. We usually travel BA or JAL business class. This trip was last minute and JAL business was going to cost $8k. Instead we paid just over $2.5k to fly with Zipair in their fully flat seats. Your ticket includes nothing but 7kg of cabin baggage (and they do weigh rucksacks/handbags etc), a bottle of water and the seat you booked. Check in process was not good. Of course we aren’t used to queuing for check in, but here everyone queues. There is no Advanced Passenger Information loaded, so with covid added the check in process was long. Also both our cabin bags were over 7kg so we had to put a bag in the hold. (You can pay to add a bag to the hold, but you can’t pay for additional cabin baggage. They are strict on weight to the gram). We were also asked if we had a return ticket, which as it was booked at the same time as the outward trip was a bit worrying. Finally because the seat map is misleading we had not booked seats together (eg row 2 does not align across the cabin so although we had seats that were both in row 2, in fact I was sat behind and to the right of my husband. This was pointed out to us at check-in but we weren’t allowed to change our seats despite the fact that there were only 2 other seats taken in the fully flat cabin. Seats must be booked at least 24 hours before check-in and again this is enforced strictly. (We couldn’t even change seats on board although the seat on my husband’s left was free). The fully flat bed was nearly as good as JAL/BA business class (not quite so much storage). Includes reading light, table and some storage space. You can stow your hand baggage under the foot stool for take-off and landing (an improvement on the new BA business class seats). Its quite hard, but otherwise good. It was immaculately clean (again better than BA), cabin crew were excellent and it felt safe. There is no entertainment screen. WiFi is included free of charge, and a (very) small selection of films is available. The fully flat seat has a USB charging point. Fairly basic food and drinks can be bought on board by ordering via your mobile device and QI code. The onboard shop opens about an hour after take-off and closes about an hour before landing. Otherwise meals must be booked in advance. Pre-booked meals are served before the onboard shop is open, so you can’t buy a drink until after your meal. Cushions and blankets are not included, but can be bought from the online shop. In deciding whether to use Zipair you need to compare cost to convenience. If you have time to download movies, book seats in advance (there is no app to make this easy), pre-order meals, and to bring your own pre- and with-meal drinks that will help. Also to bring your own cushion/blanket if you like to sleep as soon as you get on board. For me, some of the joy was missing. There wasn’t enough meal/entertainment/shopping to pass much time for those who are not good at sleeping. Is that worth $5.5k - only you can answer that.",Tokyo to Los Angeles,3,4,zipair,It was immaculately clean,Business,Trip Verified,5,5,27d0eb34-7152-4985-a8d7-e6949c4eecd8
A321,WOW air,Economy Class,January 2019,21st March 2019,0,0,4,Canada,9.0,yes,"Toronto to Paris via Reykjavik with WOW air. The plane was smaller than any trans Atlantic flight that I had flown in the past but the boarding process was so smooth. Although food is available for sale, the crew were very friendly.",Toronto to Paris via Reykjavik,3,4,wow-air,crew were very friendly,Couple Leisure,Trip Verified,5,0,404a225a-7da8-43c1-a7b0-36d941bee8a3
A321,WOW air,Economy Class,January 2019,21st January 2019,1,1,1,UnitedStates,4.0,no,"Baltimore to Reykjavik. WOW has the worst customer service ever seen. This goes across the board from ground agents to the flight attendants. Our flight crew was terrible from Baltimore to Reykjavik. When we board the plane no one was greeting the passengers. During the flight upsell stuff was the only goal of the crew. They barely answered simple questions and when they answered they were plain rude. In Reykjavik during my return the ground crew were so rude I really could not believe it. I understand the company rules and being a discounted airline, but I cannot accept people being rude to a paying customer. Being discounted airline seems like gave these people licence to be rude. Take it or leave it is the attitude! Pay more fly respectfully.",Baltimore to Reykjavik,3,1,wow-air,licence to be rude,Family Leisure,Trip Verified,2,1,48b1ef94-48a7-4565-ba93-769f294bcddc
A321,WOW air,Economy Class,January 2019,18th January 2019,0,0,1,Ireland,1.0,no,Boston to Dublin via Keflavik. Airline is a complete shambles. Sold me a $50 seat after loads of emails they refused £30.99 tho it cost me £42.15. Apparently this is not their problem. I’d recommend paying extra to fly with a respectable airline.,Boston to Dublin via Keflavik,1,4,wow-air,Airline is a complete shambles,Solo Leisure,Trip Verified,1,0,c6ec577f-dc8d-4c42-9b0d-3ce547172a96
A320 Neo,WOW air,Premium Economy,November 2018,23rd November 2018,1,3,4,UnitedKingdom,7.0,yes,"Keflavik to Montreal. I was dreading this trip after reading reviews, but want to give credit where it's due. I paid for a ""Big Seat"" which came in around £140 for both legs of the journey and good value in my opinion. Easily the most comfortable budget long haul that I've done. Plane in Reykjavik had a problem after we boarded but they had us off and loaded to another in around an hour. Staff seemed perfectly friendly to me. I followed their luggage rules to the letter given all the bad reviews! I fly twice a week with SAS who charge as much as I paid for this trip to go from Manchester to Copenhagen and their service is absolutely no better at all. So overall I am happy. Just book the big seats!",Keflavik to Montreal,4,4,wow-air,overall I am happy,Business,Trip Verified,5,1,e5b06b3e-7983-4a34-aa3a-d1656f5d8df6
A 321,WOW air,Economy Class,November 2018,19th November 2018,1,1,1,CzechRepublic,1.0,no,"New York to Berlin via Reykyavik. Not recommended at all. Sorry for not reading other reviews before buying the air tickets. If possible, the overall rating would be zero stars. The ground staff is not nice. Space for legs on the aircraft is very limited (moreover considering the length of our flight). Every service is extra paid (which I was aware of) but the quality was not worth the money. The personal luggage I wanted to bring onboard was 1cm over limit and I was charged extra 70USD. On 6 hour flight, the staff come once to offer drinks/food and once to offer Icelandic souvenirs.",New York to Berlin via Reykyavik,1,1,wow-air,Not recommended at all,Couple Leisure,Not Verified,1,0,d32b3c42-ae18-4e13-9a94-4989bba98644
A321,WOW air,Economy Class,November 2018,17th November 2018,1,1,1,Germany,1.0,no,"Amsterdam to Toronto via Keflavik. Absolutely horrible service.  Only those with a payment card they approve may eat or drink, even water. Heaven forbid you should be using the card belong to your wife or husband, they will accuse you of committing fraud. Kids playing tag on they plane while in the air while the attendants do or say nothing. The attendants had several family members on board who were seemingly allowed to enter areas where only crew and pilots should be. They switched my seats without my knowledge.",Amsterdam to Toronto via Keflavik,1,1,wow-air,Absolutely horrible service,Solo Leisure,Trip Verified,1,1,646e01fd-4b26-4f66-9c27-1e540790ca0c
A320,WOW air,Premium Economy,October 2018,27th October 2018,1,1,1,Canada,1.0,no,"Frankfurt to Toronto via Keflavik. They are the cheapest airline I've ever seen. You are charged for everything, baggage, carry on luggage, all food and you even have to pay for water on the flight, nothing is offered for free. On my first leg of the flight it felt like I was riding on a bus. There was one bathroom at the back of the plane for 30 rows X 6 seats per row. There actually was another ""hidden"" washroom but you would never know it was there if I didn't see one of the crew using it. Also when I checked in I had a minor spelling mistake in my name, an L instead of and I, and they wouldn't let me on the plane unless I paid 72 Euros, for the check in woman to change one letter. This was outrageous but I had no choice but to pay it. Be very very careful when you book a flight with this company as all the extra charges can end up being more than with a decent airline. Buyer beware and lets hope the consumer speaks and stops flying with this outfit. WOW is all I can say. They wont be around much longer.",Frankfurt to Toronto via Keflavik,1,2,wow-air,cheapest airline I've ever seen,Solo Leisure,Not Verified,1,1,d8f7e3b6-6b62-43b7-8f37-6d199921b118
A321,WOW air,Economy Class,August 2018,27th September 2018,2,0,4,UnitedStates,7.0,yes,Keflavik to Baltimore. Long flight with comfortable seats and basic services. No entertainment system! Easy short transit in KEF. Wish it were longer since there were lots of food and shopping outlets that looked good. I did manage to have a quick meal because I didn't pre-order an in-flight meal and purchased local chocolate (highly recommend). Flight attendants should make more effort to smile. I thought this was a competitive price for a last minute purchase.,Keflavik to Baltimore,4,3,wow-air,a competitive price,Business,Trip Verified,4,2,780732cc-ec72-480f-9a7b-0c92fcf851ac
A321,WOW air,Economy Class,August 2018,26th September 2018,2,3,3,UnitedStates,7.0,yes,"Berlin to Keflavik. Good value flight, with on time departure. Basic services yet comfortable seats. Did not purchase food on board since I got my own from SXF. No entertainment system! Flight attendants are dry and should try to be more friendly!",Berlin to Keflavik,4,3,wow-air,Good value flight,Business,Trip Verified,4,2,774d4d95-fc23-45c6-882e-cc91f1589df9
A321,WOW air,Economy Class,August 2018,25th September 2018,0,3,4,Finland,7.0,yes,"Detroit to Copenhagen via Keflavik. I was a little reluctant to travel with Wow air after reading the many negative reviews. However I have to say I found my experience with Wow pretty good. While for sure it is a no frills low cost airline, I have to say it is fairly good value for money. I flew from DTW to CPH via KEF, I found the ground staff, cabin crew and all other contact personnel very efficient, approachable and polite. Both aircraft I flew with were modern A-321s. While the seats were not the most comfortable, and in the basic seat the legroom was fairly tight they did recline a little and there were power sockets/USD points at each seat. Selection of drinks and snacks which were available for purchase was also quite good. I would not hesitate to fly Wow again and would quite happily recommend them to others.",Detroit to Copenhagen via Keflavik,2,4,wow-air,found my experience pretty good,Business,Trip Verified,4,0,3f3bbac9-ac94-4ef6-ac31-1ff0234b8d2f
A321,WOW air,Economy Class,September 2018,15th September 2018,0,0,3,Australia,5.0,yes,"After hearing horror stories U was concerned about my journey with WOW and how it would be, but was pleasantly surprised. The flight was uneventful with even more space between seats than some budget airlines I've experienced eg JQ. Staff pleasant and food to buy. (I bring my own). Paid for large carry on and seat. I did do a name change in advance to include my middle name, because I'd heard stories of pax denied boarding. The only thing I didn't like about the flight was that they didn't dim the lights in the cabin for the entire journey. I would use them again if it was cheap and you lower your expectations.",Reykjavik to New York JFK,3,3,wow-air,was pleasantly surprised,Solo Leisure,Trip Verified,3,2,8082e78e-f6f7-47ca-a56a-e907d0d2769f
A321,WOW air,Economy Class,September 2018,11th September 2018,0,0,1,UnitedStates,1.0,no,"Amsterdam to Detroit via Keflavik. This is not a complaint about the lack of free meals or in-flight entertainment. I know how so-called low cost airlines operate and have never had a problem with any of them until my partner and I tried to fly WOW for the first (and last) time. This is a complaint about the treatment we received and the fees we were charged at the gate of our flight WW447 AMS-KEF, on the date of September 3 at AMS (Schiphol) airport. We booked our WOW air flights months in advance of our flight measured our bags, which fit perfectly within the very restrictive WOW measurements. We have photographs to prove that the bags fit into the bags measurement frame placed at WOW gates. Prior to our flight we checked in online and received boarding passes into email, that was not a problem. However, at the gate of our flight from AMS to KEF we were stopped impolitely by an individual from WOW ground personnel, who started insisting that our bags were carry-ons just because they had 2 wheels, and that we had to pay in order to get them on the plane. She would not even look at my original ticket, where the definition of included luggage only showed dimensions and had in no way specified that included luggage could not have wheels. She never measured the bags, nor weighed them, nothing, just insisted that ""wheels"" cannot be placed under seats due to ""safety."" This individual further refused to provide her name and also prohibited me from taking a photo of her ID for evidence, repeating multiple times that it is not allowed. Every question I tried to ask she dismissed with It is not allowed, to the point that I felt I was talking to a robot. I tried to show her the original ticket on my phone, but she refused to have any human communication or reasoning with me, and kept repeating it is not allowed. When I asked to see a supervisor, she replied, it is not allowed to have a supervisor, after which she moved us to the side and said we were not getting on the flight at all. We had to wait until the entire plane was boarded, when she sent a colleague of hers, who likewise insisted that our small bags were trolleys and were not allowed on the flight for free due to safety. I tried to explain that my original ticket showed no such prohibition whatsoever, but she insisted we had to pay or we could not fly. We absolutely felt blackmailed, humiliated and ended up profoundly disturbed They charged us 160 Euro for our two bags, as we were taking a connect flight to Detroit later that afternoon from Reykjavik, and only then were we allowed to board the flight. Once we paid, however, we were told that we could place our bags wherever we chose, and when I said that the entire affair was not about safety but about paying, they had no response, because this is what it was all about – extorting money from travelers.  If the company wants to prohibit the use of wheeled luggage, it must define the included luggage as such excluding wheels, otherwise am free to interpret the shape or pattern of the luggage freely, as long as it complies with the measurements, which it did. Customer service? Non-existent.",Amsterdam to Detroit via Keflavik,1,2,wow-air,had to pay or we could not fly,Couple Leisure,Trip Verified,1,0,16c78143-dccf-46bf-9d4a-bed9dbb783ad
A321,WOW air,Economy Class,August 2018,31st August 2018,0,0,5,UnitedStates,9.0,yes,"Toronto to Paris CDG via Keflavik. I flew yesterday and it wasn't a bad flight. I had no issues. They're a low-cost airline. You get what you expect and what you paid for. Our flight wasn't late, the flight attendants were friendly, the pilots were friendly (we took a photo with them for my daughter's first flight), it wasn't bad at all.",Toronto to Paris CDG via Keflavik,5,5,wow-air,wasn't bad at all,Family Leisure,Trip Verified,5,0,f9d0528f-26aa-4593-9dfb-d2a2778cc003
A330,WOW air,Economy Class,June 2018,20th August 2018,0,0,5,UnitedStates,10.0,yes,"Los Angeles to Keflavik. They are a budget airline which does mean you have to pay for food, water, seat reservations, and bags, but this means you get a low fare. You do get what you pay for. The flight attendants are nice and helpful. You get a huge amount of legroom for a budget airline- and I am 6' 2, but in exchange for the legroom, the seats are thinner and less padded. Flight was delayed leaving LAX but arrived in KEF on time. I have flown Wow on a total of 5 flights and I have never had a problem. The food on the flight is ok but not great. I recommend picking something up in the airport and eating it on the plane. The water is also expensive and small so pick some up in the airport (the Icelandic water is cheaper in KEF airport duty free too). There are NO tvs or inflight entertainment so download something on netflix, sleep or bring a book or other activity. There is also NO wifi. While most things I said are negative I paid so little for my flight, it is worth it. I would fly them again.",Los Angeles to Keflavik,4,5,wow-air,it is worth it,Solo Leisure,Trip Verified,5,0,3b773a7e-88a9-4638-a2e4-463db2f535d3
A321,WOW air,Economy Class,August 2018,19th August 2018,0,0,3,Israel,7.0,yes,"Tel-Aviv to Chicago via Keflavik. You can expect that you'll come to the destination. Expect the flights to be late. At least 30 mins late, but my last plane was 2 hours late. The flights are quite stable in being late, so usually being late for the same time. Eat just before flight and buy a bottle of water just before flight. Usually you can do this in airport just before flight, but if late-evening flight (after 22:00), then it make sense to eat before entering airport. 3. Come to Wow air registration anyway (even if you printed boarding passes in advance), so they would print new boarding passes for you. This can prevent some issues. Do not rely on anything to be on-time. For example, I bought 12:30 Gold Ring tour on plane (being sure that flight arrives at 11:00 and then enough time to be at 12:30 to BSI-terminal for taking this tour), but actually plane arrived at 11:12AM and then bus arrived at 12:34, so I was 4 mins late for the tour (and I've seen the tour bus going away trying wave my hands to driver, but it didn't help). As result, lost the 60USD ticket for tour and didn't see Gold Ring that I wanted during flight connections. Better to take rent-car after the flight (because even if flight 2 hours late, you could still take rent car, but this doesn't apply to buses or even could be worse if next-connection-other-companies-flight). This is not about Wow air, but just about Keflavik airport flight-connections during night. During my way back, I had a night in airport. I didn't reserve any hotel. I had a boarding pass in advance and did some walking in Reykjavik during day-time (latest Flybus from BSI-terminal to airport at 20:00), so first I did some walking around outside airport during the evening and then entered at 23:30 the boarding zone without any problems. Then slept about from 00:15 to 4:30. The border (for zone D) closed during night hours, but still if having boarding pass, then can sleep somewhere in zone C just before border. There are no special places to sleep, but if you can sleep both sitting, then it is Ok. The good news that Wow air not so strict on baggage size. The limit is 42x32x25cm for free of charge baggage item, but during my flight back I used school bag with exactly these sizes (and with much inside it could be even 43x33x30cm), and this still was Ok. Used USB charger during the flight well.",Tel-Aviv to Chicago via Keflavik,4,4,wow-air,Expect flights to be late,Solo Leisure,Trip Verified,3,0,09dec1b2-4919-4428-b6b3-caf3ded39ca6
A321,WOW air,Economy Class,August 2018,18th August 2018,0,0,4,UnitedStates,8.0,yes,"Tel Aviv to Chicago via Keflavik. Trying to balance the sometimes justified negative reviews. Clearly you must know exactly what you are getting into when you choose Wow. Do not use them if you cannot understand their rules, or if you really need to get somewhere at a certain time, or if you cannot deal with sitting in a full A321 for 6-7 hours, or if you can't deal with irregularities, or if you need a hot meal, IFE, etc. If that is not the case, it is hard to beat a mid-August one way TLV-ORD for $300. TLV-KEF left about 1.5 hours late, not good for those with tight connections. Oddly I noticed no checking at all of hand luggage size or weight either TLV-KEF or KEF-ORD. Full flight, but economy seating not much worse than other economy. Newish plane, very friendly flight staff. Very slow security at KEF. Nice small airport. KEF-ORD departed on time, landed early, taxied forever, and got to gate on time. Immigration in Chicago entirely different story. Global Entry not working, enormous line, skeleton staff. About an hour to get through.",Tel Aviv to Chicago via Keflavik,2,4,wow-air,know what you are getting into,Business,Trip Verified,5,0,ee693cf3-9f12-43d8-a493-190c1873f25c
A321,WOW air,Economy Class,July 2018,17th July 2018,1,1,1,UnitedKingdom,1.0,no,"Keflavik to Toronto. Simply my worst ever flying experience! I kept calling as line check in did not recognize my booking number, waiting time was very long and customer service agents very difficult to understand. I was told my number was correct and I had to wait until 24 hrs before flying, still did not work, called 3 times on day of flight as wanted to check in to ensure my family sat together, was then told booking number was incorrect and to try a different one, still no good, eventually paid extra over the phone to reserve seats. When getting to the airport I was told to check in at a machine, guess what? Booking not recognised again so queued up. There was a very long queue and only 2 desks open, 2 other staff just sat there filling in forms, we queued for nearly an hour and was down to 50 mins to departure. I spoke to staff several times to open other desks but they said others were busy and most staff were at the gates, eventually got to the desk to be told my seats had been given to other passengers despite me showing my email confirmation, again they were uninterested and shrugged shouldsers, my family ended up all split up including quite young daughters. The plane was the worse legroom I have had for a near 6hr flight, extremely cramped and uncomfortable. So it is fair to say will never use Wow again, iny opinion they are terrible and any saving is just not worth it.",Keflavik to Toronto,1,2,wow-air,worst ever flying experience,Family Leisure,Trip Verified,1,1,2e169632-ea6f-4b81-b23e-22e1e5ead727
 A321,WOW air,Economy Class,July 2018,8th July 2018,0,0,1,UnitedStates,1.0,no,"In one itinerary, Copenhagen to San Francisco via Reykjavík, we had inconsistent treatment with our luggage, where the same luggage size authorized for any other airline worked from SFO to Copenhagen, but not Back. I ended up spending, in front of hundreds of amused onlookers about 20 minutes moving things around, getting drenched in sweat, just to have them charge me anyway for 1/2 an inch which fits on any airplane. All to just say in the end “we need to charge you 201 DKK or approximately $25 additional dollars. On top of this, when my son had to make a change to his itinerary on the website, it shows $99 to make the change, then charged his card $548 USD!  It is not worth the purported savings, it’s just not! Power didn’t work, no entertainment, didn’t deliver our prepaid food, horrible  airline! Forget customer service, they have none. They hung up on us 3 times and are only served from India, don’t acknowledge any bugs on their site are possible.",Copenhagen to San Francisco via Reykjavík,1,1,wow-air,not worth the purported savings,Family Leisure,Trip Verified,1,0,8ed03935-2687-45f8-bd42-0ff856727387
A320,WOW air,Economy Class,June 2018,1st July 2018,1,1,1,UnitedKingdom,1.0,no,"Stansted to Cleveland via Keflavik. Appalling airline. Arrived in Iceland after diverting to Belfast. Flight cancelled, had to stay in Iceland (not a bad thing) for 2 nights. The customer service was absolutely dreadful - I know these guys put up with a lot, but the two ladies we spoke to were rude, bickering between themselves and downright ignorant. The return flight from Cleveland was even worse - sat on tarmac for 3.5 hours, so we left the plane of our own accord - good job - the flight left around 4 hours after schedule, arriving in Iceland where it was delayed for a further 12 hours. I understand from texts I received from the airline that they ended up charting a Ryanair aircraft that flew via Dublin to Gatwick! Do not use this airline. Nothing to do with it being a budget airline, I am not convinced they pay their airport fees/slots on time.",Stansted to Cleveland via Keflavik,3,3,wow-air,absolutely dreadful,Business,Trip Verified,4,0,bc96b8cd-daa8-4c76-855c-65ebf21c9d07
A321,WOW air,Economy Class,June 2018,28th June 2018,0,1,2,Australia,2.0,no,"Keflavik to Stansted. I didn't have the awful problems a lot of others seem to have but I warn potential customers not to bother ordering a meal. I did order meals on two flights, and although they had them, and obviously had my name and seat number attached to them, they didn't bother actually serving them to me until I asked several times. The first time I got to eat the meal just before we started descent into Reykjavik. They had done the trolley service and the duty free service, and in the end I had to ask for it as it looked as if they weren't going to serve it, and then the attendant asked if I really wanted to have it heated up, which was obviously an nuisance to her, and would take another 10 minutes. It would have been disgusting to eat mustard chicken cold! On my second flight, it was again obvious they weren't going to give me my pre-paid meal unless I asked for it, and again they delayed heating it up until they'd finished the other services. I understand it's a budget airline, but if you pre-pay for their crap meals, at least they should make an effort to serve them up in good time. By the way, the check-in at Dublin was a nightmare - massively long queue and no online check-in facility or self check-in machines. Reykjavik self check-in was really good though. I got through in a minute flat.",Keflavik to Stansted,2,1,wow-air,not to bother ordering a meal,Solo Leisure,Not Verified,2,0,6ba6d7d9-7ad7-40db-98cf-abd532191145
A330-343,WOW air,Economy Class,June 2018,23rd June 2018,2,4,1,UnitedStates,7.0,yes,"Frankfurt to Dallas  via Reykjavik. Overall the experience with Wow Air was good given the fact that we knew it was a budget airline. We did not mind paying fees for checked bags, carry on bags, seat selection and more, because the fare was very affordable. We did not expect excellent service but we were pleasantly surprised. The aircraft were new and clean. Both flights were delayed about 30 minutes but the planes could catch up with schedule in the air and we happened to arrive almost on time.",Frankfurt to Dallas  via Reykjavik ,4,4,wow-air,did not mind paying fees,Family Leisure,Trip Verified,3,1,591b2574-4275-4c23-a8f2-9fc55c09d5af
A321,WOW air,Premium Economy,June 2018,6th June 2018,0,0,1,UnitedStates,1.0,no,"Reykjavik to Cincinnati. We have not taken off. Still sitting at gate due to mechanical problems on another flight. It is 1.5 hrs taking off late, likely will be 2 hrs. While we all appreciate customer service to all travelers, it is inconsiderate to leave 200 people on uncomfortable seats for 2 hrs. Announcements were made that it would be a few minutes. 90+ minutes is a lot more than a few. They keep apologizing but should have let us deplane.",Reykjavik to Cincinnati,1,1,wow-air,should have let us deplane,Family Leisure,Not Verified,1,0,8f9a1b62-3314-46fe-aec7-0c733521aea9
A321,WOW air,Economy Class,June 2018,5th June 2018,0,1,1,UnitedKingdom,1.0,no,"Gatwick to Detroit via Keflavik. Hands down the most miserable flying experience I have had. Akin to Ryanair but long haul.  Wasn’t allowed a glass of water had to pay €3.50 for cheap mineral water. Gin and tonic was a rip off at €12.00, flights both delayed. They charge for everything if you add it all up with the inconvenience of being late and the additional costs you could fly direct with a reputable and rather nice national airline like Norwegian. WOW air bring a whole new meaning to airbus cramped, uncomfortable. Overall not impressed.",Gatwick to Detroit via Keflavik,1,1,wow-air,Overall not impressed,Couple Leisure,Not Verified,1,0,5f32daec-54b0-468b-9738-24b0a952b4f8
A330-300 / A321-211,WOW air,Economy Class,May 2018,21st May 2018,0,4,4,Ireland,8.0,yes,"San Francisco to Dublin via Reykjavík. I was aware of the extra charges many reviewers have commented on in their reviews. Therefore, when booking I could clearly see the true cost and was aware of additional fees. For two people (My wife and I) we paid €750 for a one way ticket from San Francisco to Dublin with a short stopover in Reykjavik. This included check in luggage up to 20Kg, carry on luggage (10 Kg) and a personal item (rucksack, handbag). This was more than sufficient and the extra fees paid for this luggage allocation are included in the €750. The flight from SFO- Reykjavík was on the Airbus A330 aircraft with a flight time of 8 hrs. Although the leg room was tight, it was by no means uncomfortable, once you took a regular stretch or walk as you should do on any airline. Limited food menu was available onboard. Staff were very friendly and attentive. The one negative was that the universal charge points beneath the seat were not working, however, the staff obliged by charging in their rest area. After a short stopover in Reykjavik we boarded a new Airbus A321 to Dublin and this plane had all the modern comforts of a brand new aircraft. Although we had to pay for food onboard both flights, the difference between travelling with Wow and Aer Lingus was saving in the region of €800 for two people with the stopover adding 2.5-3hrs to the journey. I found the stopover good to break up the journey and this may suit families travelling with children or those who value their Cash at the expense of a few extra hours travel. Overall a very positive experience.",San Francisco to Dublin via Reykjavík,3,4,wow-air,a very positive experience,Couple Leisure,Trip Verified,5,0,d6858b01-eded-4fd6-be4a-3b88fe0a77c9
A321,WOW air,Economy Class,May 2018,18th May 2018,0,3,4,UnitedStates,8.0,yes,"I got scared reading negative reviews and want to offer a different experience. We flew on a XXL (BIZ-Class) ticket from Baltimore to Frankfurt and back and had a very pleasant experience. WoW Air operates one of the newest aircraft fleets and all four planes we flew with were 2016 or 2017 build. Our ticket included priority boarding, seat selection, free luggage, free meal and drink. Nothing to complain about. Staff on the plane was exceptionally friendly and helpful. Now, here seems to be the trick: We did a little research and talked to folks who had flown WoW Air before and got some insights. Make sure you adhere to their luggage requirements. Understand that an XXL seat is a seat of the exact same size as any other seat, but it's in the exit row and gives you the additional leg room. There was mention, however in the magazine that the airline has started to add ""real"" Business Class seats to their Airbus 300 planes and plans the same upgrades, with confirmed seating option, to their 321/320 fleet. Know that you do not have in-board entertainment unless you bring your own I-Pad or pay 25$ to rent one. Understand that everything, from water to food, will cost you money. So the bottomline: If you pay only $126 on-way to Frankfurt and expect a 5-star service, you'd be thoroughly disappointed and write a review like the ones we read. If you pay about $400, you get the premium treatment and write a review like this. One thing I can't comment on, is how their service develops once something goes wrong, like many reviewers experienced. We may just have been lucky that everything went well.",Baltimore to Frankfurt via Keflavik,2,4,wow-air,a very pleasant experience,Business,Trip Verified,5,0,d2650b25-8d6d-4ec6-86fa-c2b7810d9a60
A320,WOW air,Economy Class,May 2018,17th May 2018,1,1,1,UnitedStates,1.0,no,"Brussels to Los Angeles via Keflavik. This is by far the worst airline. First they told me I have to pay 135 euro for my 1 check in luggage. Ok got a catch the flight. Got into the flight,I asked for water, they asked me to wait, then again I asked they said the CC machine need to be on. They said its 3.75 euro - I have to pay even for a water. Then I asked for food to buy. They said once we start serving we can help you, after long wait here they are 2 sweet lady's asking me if I need anything - I tell them nicely anything and of course CC in hand, they reply no more food available sir, we only have soup. Seats are small and when I say small I mean like no movement possible. I slept only maybe 3 hours with sleeping pill, very noisy aircraft old dirty. Never again ,even if wow is my Last choice I'm passing on. No music, games, tv or similar entertainment and of course no Wi-Fi.",Brussels to Los Angeles via Keflavik,1,1,wow-air,by far the worst airline,Solo Leisure,Trip Verified,2,1,32ffdebc-6355-4971-9a26-20f58e63996a
